experiment,epoch,lr,loss,acc,val_loss,val_acc
3.0,81.0,0.0001,0.05501106494667278,0.9924812030075187,7.984497100114822,0.776984126984127
3.0,82.0,0.0001,0.03142063518319688,0.9948652118100129,9.09837156534195,0.7597222222222223
3.0,83.0,0.0001,0.04954445571440444,0.9921144324225197,8.827962040901184,0.7524801587301588
3.0,84.0,0.0001,0.05921115397133348,0.9917476618375206,9.208272099494934,0.7456349206349208
3.0,85.0,0.0001,0.04994830664407559,0.9917476618375206,8.782645165920258,0.7564484126984127
3.0,86.0,0.0001,0.04598641799137251,0.9922978177150192,8.941624701023102,0.759623015873016
3.0,87.0,0.0001,0.07091390588648468,0.9893636530350266,8.672770738601685,0.7422619047619048
3.0,88.0,0.0001,0.08182615409390075,0.9891802677425271,9.807554602622986,0.7665674603174604
3.0,89.0,0.0001,0.06841229338989938,0.9899138089125252,8.78178334236145,0.7701388888888889
3.0,90.0,0.0001,0.059327795537911863,0.9906473500825234,8.50013655424118,0.7354166666666667
